Name,Occupation,Type,Nationality,Group
Ahn Bo-hyun,Actor,Individual,South Korean
Bae Doona,Actress,Individual,South Korean
Bae Suzy,Actress / Singer,Individual,South Korean
Bae Yong-joon,Actor,Individual,South Korean
Cha Seung-won,Actor,Individual,South Korean
Choi Daniel,Actor,Individual,South Korean
Choi Woo-shik,Actor,Individual,South Korean
Chun Woo-hee,Actress,Individual,South Korean
Claudia Kim,Actress,Individual,South Korean
Gong Yoo,Actor,Individual,South Korean
Go Min-si,Actress,Individual,South Korean
Han So-hee,Actress,Individual,South Korean
Ha Jung-woo,Actor / Director,Individual,South Korean
Hyun Bin,Actor,Individual,South Korean
Yim Si-wan,Actor / Singer,Individual,South Korean
IU (Lee Ji-eun),Singer / Actress,Individual,South Korean
Jeon Do-yeon,Actress,Individual,South Korean
Ji Chang-wook,Actor,Individual,South Korean
Ju Ji-hoon,Actor,Individual,South Korean
Jung Woo-sung,Actor,Individual,South Korean
Jun Ji-hyun,Actress,Individual,South Korean
Kang Ha-neul,Actor,Individual,South Korean
Kim Hye-soo,Actress,Individual,South Korean
Kim Nam-gil,Actor,Individual,South Korean
Kim Soo-hyun,Actor,Individual,South Korean
Kim Woo-bin,Actor,Individual,South Korean
Koo Kyo-hwan,Actor / Director,Individual,South Korean
Kwon Sang-woo,Actor,Individual,South Korean
Lee Byung-hun,Actor,Individual,South Korean
Lee Dong-wook,Actor,Individual,South Korean
Lee Je-hoon,Actor,Individual,South Korean
Lee Jung-jae,Actor / Director,Individual,South Korean
Ma Dong-seok,Actor,Individual,South Korean
Park Bo-gum,Actor,Individual,South Korean
Park Bo-young,Actress,Individual,South Korean
Park Hae-soo,Actor,Individual,South Korean
Shin Min-a,Actress,Individual,South Korean
Song Hye-kyo,Actress,Individual,South Korean
Song Joong-ki,Actor,Individual,South Korean
Son Ye-jin,Actress,Individual,South Korean
BoA,Singer / Dancer,Individual,South Korean
Bang Chan,Singer / Rapper (Stray Kids),Individual,Australian
Daesung,Singer (BIGBANG),Individual,South Korean
Doh Kyung-soo (D.O.),Singer / Actor (EXO),Individual,South Korean
Hoshi,Singer / Dancer (Seventeen),Individual,South Korean
Hyein,Singer (NewJeans),Individual,South Korean
Jay Park,Rapper / Singer / CEO,Individual,South Korean-American
