Name,Occupation,Type,Nationality
SHINee,Boy Group,Group,South Korean
Onew,Singer (SHINee),Individual,South Korean
Key,Singer / Rapper / Dancer (SHINee),Individual,South Korean
Minho,Rapper / Singer (SHINee),Individual,South Korean
Taemin,Dancer / Singer (SHINee / SuperM),Individual,South Korean
ALLDAY PROJECT,Mixed Group,Group,South Korean
Annie,Rapper (ALLDAY PROJECT),Individual,South Korean
Tarzzan,Rapper / Dancer (ALLDAY PROJECT),Individual,South Korean
Bailey,Dancer / Rapper (ALLDAY PROJECT),Individual,American
Woochan,Rapper (ALLDAY PROJECT),Individual,South Korean
Youngseo,Singer (ALLDAY PROJECT),Individual,South Korean
fromis_9,Girl Group,Group,South Korean
Song Hayoung,Singer / Dancer (fromis_9),Individual,South Korean
Park Jiwon,Singer (fromis_9),Individual,South Korean
Lee Chaeyoung,Singer / Rapper (fromis_9),Individual,South Korean
Lee Nakyung,Singer (fromis_9),Individual,South Korean
Baek Jiheon,Singer (fromis_9),Individual,South Korean
Chuu,Singer,Individual,South Korean
i-dle,Girl Group,Group,South Korean
Miyeon,Singer (i-dle),Individual,South Korean
Minnie,Singer (i-dle),Individual,Thai
Soyeon,Rapper (i-dle),Individual,South Korean
Yuqi,Dancer / Singer (i-dle),Individual,Chinese
Shuhua,Singer (i-dle),Individual,Taiwanese
ILLIT,Girl Group,Group,South Korean
Yunah,Singer / Dancer (ILLIT),Individual,South Korean
Minju,Singer / Rapper / Dancer (ILLIT),Individual,South Korean
Moka,Singer / Dancer (ILLIT),Individual,Japanese
Wonhee,Singer / Dancer (ILLIT),Individual,South Korean
Iroha,Singer / Dancer (ILLIT),Individual,Japanese
KISS OF LIFE,Girl Group,Group,South Korean
Julie,Rapper / Dancer (KISS OF LIFE),Individual,Korean-American
Natty,Dancer / Singer (KISS OF LIFE),Individual,Thai
Belle,Singer (KISS OF LIFE),Individual,Korean-American
Haneul,Singer (KISS OF LIFE),Individual,South Korean
izna,Girl Group,Group,South Korean
Mai,Singer / Dancer (izna),Individual,Japanese
Bang Jeemin,Singer / Dancer (izna),Individual,South Korean
Koko,Dancer / Rapper (izna),Individual,Japanese
Ryu Sa Rang,Singer / Dancer / Rapper (izna),Individual,South Korean
Choi Jung Eun,Singer / Dancer / Rapper (izna),Individual,South Korean
Jeong Sae Bi,Singer / Dancer (izna),Individual,South Korean
VIVIZ,Girl Group,Group,South Korean
Eunha,Singer / Dancer (VIVIZ),Individual,South Korean
Sinb,Singer / Dancer (VIVIZ),Individual,South Korean
Umji,Singer / Dancer (VIVIZ),Individual,South Korean
FIFTY FIFTY,Girl Group,Group, South Korean
Keena,Rapper / Singer / Dancer (FIFTY FIFTY),Individual,South Korean
Chanelle Moon,Singer / Rapper / Dancer (FIFTY FIFTY),Individual,Korean-American
Yewon,Singer / Dancer (FIFTY FIFTY),Individual,South Korean
Hana,Singer / Dancer (FIFTY FIFTY),Individual,South Korean
Athena,Singer / Dancer / Rapper (FIFTY FIFTY),Individual,Korean-Swedish
THE BOYZ,Boy Group,Group,South Korean
Sangyeon,Singer / Dancer (THE BOYZ),Individual,South Korean
Jacob,Singer / Rapper / Dancer (THE BOYZ),Individual,Canadian
Younghoon,Singer (THE BOYZ),Individual,South Korean
Hyunjae,Singer / Dancer (THE BOYZ),Individual,South Korean
Juyeon,Dancer / Singer (THE BOYZ),Individual,South Korean
Kevin Moon,Singer / Dancer (THE BOYZ),Individual,Canadian
New,Singer (THE BOYZ),Individual,South Korean
Q,Singer / Dancer (THE BOYZ),Individual,South Korean
Sunwoo,Rapper / Singer / Dancer (THE BOYZ),Individual,South Korean
Eric,Rapper / Dancer (THE BOYZ),Individual,South Korean
TREASURE,Boy Group,Group,South Korean
T5,Boy Group,Group,South Korean
Choi Hyunsuk,Rapper / Dancer / Singer (TREASURE),Individual,South Korean
Jihoon,Singer / Dancer / (TREASURE / T5),Individual,South Korean
Yoshi,Rapper (TREASURE),Individual,South Korean
Junkyu,Singer (TREASURE / T5),Individual,South Korean
Yoon Jaehyuk,Singer / Dancer (TREASURE / T5),Individual,South Korean
Asahi,Singer / Songwriter (TREASURE),Individual,Japanese
Kim Doyoung,Singer / Dancer (TREASURE / T5),Individual,South Korean
Haruto,Rapper (TREASURE),Individual,Japanese
Park Jeong Woo,Singer (TREASURE),Individual,South Korean
So Jung Hwan,Singer / Dancer (TREASURE / T5),Individual,South Korean
